timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685031910908,1,Birds,200,OK,Thread Group 1-21,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,1,0,0
1685031910968,1,Sign In,200,OK,Thread Group 1-5,text,true,,3921,639,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,1,0,0
1685031911069,0,Home,404,Not Found,Thread Group 1-13,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,0,0,0
1685031911093,1,Sign In,200,OK,Thread Group 1-6,text,true,,3923,639,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,1,0,0
1685031911227,1,Dogs,200,OK,Thread Group 1-25,text,true,,4296,295,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS&viewCategory=&categoryId=DOGS,1,0,0
1685031911263,2,Birds,200,OK,Thread Group 1-22,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,2,0,0
1685031911424,0,Home,404,Not Found,Thread Group 1-14,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,0,0,0
1685031911456,1,Main Catalog,200,OK,Thread Group 1-11,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031911471,1,Main Catalog,200,OK,Thread Group 1-10,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031911539,3,Sign Out,200,OK,Thread Group 1-18,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031911539,1,Sign Out-0,302,Found,Thread Group 1-18,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685031911540,2,Sign Out-1,200,OK,Thread Group 1-18,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685031911683,1,Birds,200,OK,Thread Group 1-23,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,1,0,0
1685031911728,2,Sign In,200,OK,Thread Group 1-7,text,true,,3925,639,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,2,0,0
1685031911731,1,Main Catalog,200,OK,Thread Group 1-12,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031911805,2,Sign Out,200,OK,Thread Group 1-19,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031911805,1,Sign Out-0,302,Found,Thread Group 1-19,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685031911806,1,Sign Out-1,200,OK,Thread Group 1-19,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
